model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,1,81,0.946777344,1.935670733,,,0.119140625,1.000000000,61.000000000,0.023437500,2.254624876,12.000000000
1.5B,rdgdpo_positive,1,82,0.949707031,1.865123987,,,0.119140625,1.000000000,61.000000000,0.015625000,2.761340254,8.000000000
1.5B,rdgdpo_positive,1,83,0.934082031,1.819097638,,,0.130859375,1.000000000,67.000000000,0.017578125,2.728450924,9.000000000
1.5B,rdgdpo_positive,1,84,0.935546875,1.895785332,,,0.125000000,1.000000000,64.000000000,0.013671875,3.023715784,7.000000000
1.5B,rdgdpo_positive,1,85,0.933593750,1.860916615,,,0.130859375,1.000000000,67.000000000,0.027343750,2.187627547,14.000000000
1.5B,rdgdpo_positive,1,86,0.936035156,1.920796394,,,0.136718750,1.000000000,70.000000000,0.025390625,2.320477404,13.000000000
1.5B,rdgdpo_positive,1,87,0.935546875,1.854982257,,,0.091796875,1.000000000,47.000000000,0.027343750,1.832250763,14.000000000
1.5B,rdgdpo_positive,1,88,0.935546875,1.924231052,,,0.132812500,1.000000000,68.000000000,0.025390625,2.287087500,13.000000000
1.5B,rdgdpo_positive,1,89,0.947265625,1.883171558,,,0.117187500,1.000000000,60.000000000,0.015625000,2.738612788,8.000000000
1.5B,rdgdpo_positive,1,90,0.952148438,1.810756207,0.975000000,1.743127600,0.123046875,1.000000000,63.000000000,0.021484375,2.393172106,11.000000000
1.5B,rdgdpo_positive,1,91,0.950195312,1.900126219,,,0.105468750,1.000000000,54.000000000,0.015625000,2.598076211,8.000000000
